#Transcript position	Transcript coverage profile
0.0	5.0198128224458305
1.0	16.440292835132034
2.0	25.187089862138983
3.0	34.81356469364387
4.0	40.40486416721137
5.0	46.64474117758301
6.0	55.1346649054573
7.0	60.20123680714394
8.0	62.21441943491622
9.0	62.86441061846721
10.0	62.33420284864407
11.0	63.09908084331068
12.0	67.47231356816923
13.0	68.5502418448806
14.0	67.92454012034707
15.0	65.72188058217623
16.0	60.492226045776604
17.0	59.88046748204694
18.0	63.44098684191242
19.0	67.12963570200235
20.0	67.21115203020433
21.0	64.55747249042687
22.0	62.676760118037556
23.0	59.59986385385618
24.0	57.1895214785637
25.0	56.19790997856688
26.0	56.51927438079822
27.0	55.441536739742006
28.0	58.675244673048105
29.0	60.763945703868345
30.0	64.2429438625897
31.0	63.47415056383103
32.0	65.86168252740508
33.0	68.31346315142801
34.0	69.77465212217311
35.0	67.95890834678582
36.0	67.76471812642158
37.0	69.62929544331509
38.0	68.6594894449332
39.0	64.69741263744045
40.0	64.48853995054854
41.0	63.43213290952275
42.0	63.33414307858577
43.0	60.67903898356612
44.0	58.661072221318676
45.0	58.481424904469506
46.0	60.923785383309294
47.0	62.04809484933983
48.0	59.62918338797545
49.0	59.154202440676045
50.0	61.670257521153175
51.0	63.22460701003742
52.0	65.77361753693779
53.0	66.30380670248684
54.0	66.58249506741541
55.0	63.82100369176595
56.0	63.89139342422392
57.0	62.43137952649905
58.0	61.66502923745867
59.0	60.52707828821674
60.0	63.079269981209954
61.0	61.88276007761321
62.0	61.195108896523394
63.0	61.843125276895705
64.0	64.20305589053243
65.0	63.434024710025284
66.0	66.59190576633861
67.0	66.16501526692237
68.0	66.85794598417652
69.0	64.98115961498516
70.0	64.50287680109211
71.0	66.20079091937933
72.0	68.6386402972847
73.0	69.0180445888367
74.0	70.60286731897257
75.0	71.81971574649789
76.0	69.69002018014803
77.0	66.34916706841963
78.0	65.04803638049236
79.0	66.3854437924937
80.0	66.21520812659142
81.0	63.32861596182264
82.0	62.45807316773227
83.0	62.78237886834464
84.0	57.03321691298369
85.0	54.268060157806055
86.0	52.65690961556581
87.0	52.07961257462619
88.0	49.0989317492887
89.0	42.67996898062312
90.0	38.38628179494728
91.0	35.53336700545621
92.0	28.44806738130899
93.0	18.903861634338437
94.0	16.046162707583655
95.0	13.700373919142669
96.0	12.273061125998053
97.0	7.982753044056351
98.0	3.7886961069813627
99.0	0.9985464020254
