tx	gene_id	RAP1_IAA_30M_REP1	RAP1_UNINDUCED_REP1	RAP1_UNINDUCED_REP2	WT_REP1	WT_REP2
YAL069W	YAL069W	0	560.28501	289.711554	0	0
YAL068W-A	YAL068W-A	449.895983	0	876.773568	0	0
YAL068C	YAL068C	462.98814	971.676659	2512.167468	365.789537	232.069963
YAL067W-A	YAL067W-A	0	0	0	0	0
YAL067C	YAL067C	28.483657	71.670879	49.412666	15.134976	0
YAL066W	YAL066W	0	0	0	0	0
YAL065C	YAL065C	0	0	0	0	0
YAL064W-B	YAL064W-B	213.175227	0	144.466026	112.418814	0
YAL064C-A	YAL064C-A	0	0	0	0	0
YAL064W	YAL064W	0	0	971.844778	0	0
YAL063C-A	YAL063C-A	0	838.619478	433.632433	0	0
YAL063C	YAL063C	56.118584	95.951378	67.375804	27.421835	13.585719
YAL062W	YAL062W	190.633427	586.119862	572.465954	263.272321	154.462649
YAL061W	YAL061W	1270.285923	546.811691	1545.671493	202.389778	214.409575
YAL060W	YAL060W	2297.065508	2157.726641	2399.839614	1070.383867	1329.185852
YAL059C-A	YAL059C-A	0	0	0	0	0
YAL059W	YAL059W	1660.994943	2164.006088	2043.321689	1709.01342	1976.043509
YAL058W	YAL058W	788.578108	784.907138	736.558773	710.354767	902.945541
YAL056C-A	YAL056C-A	0	0	0	0	0
YAL056W	YAL056W	1132.855864	749.434401	1051.831076	700.884905	715.073576
YAL055W	YAL055W	736.084281	124.914433	322.953086	64.953405	247.782724
YAL054C	YAL054C	69.860523	96.722857	70.018687	61.879838	23.59324
YAL053W	YAL053W	2441.43504	2246.142172	2358.878843	1487.794722	1386.114367
YAL051W	YAL051W	586.875107	758.809861	778.18972	665.028659	610.350161
YAL049C	YAL049C	2087.978457	2758.039467	2505.352974	1405.418334	974.999178
YAL048C	YAL048C	454.397504	441.977292	500.605141	348.798218	255.753523
YAL047W-A	YAL047W-A	0	0	0	0	0
YAL047C	YAL047C	540.521912	542.556083	467.573833	272.863894	383.312003
YAL046C	YAL046C	476.726249	1026.156989	1238.076286	1003.673674	1432.87351
YAL045C	YAL045C	0	0	317.57447	0	0
YAL044W-A	YAL044W-A	1348.356462	1322.287918	3190.726821	991.019733	808.347043
YAL044C	YAL044C	4398.686893	7932.303989	8850.879282	3315.291845	3362.337835
YAL043C	YAL043C	1322.31764	1163.280477	1211.993296	858.995864	935.722338
YAL042C-A	YAL042C-A	0	0	0	0	0
YAL042W	YAL042W	6003.538427	5354.298262	5518.226285	3798.914844	4398.251245
YAL041W	YAL041W	1169.732779	1027.643795	1144.495517	907.153453	971.501178
YAL040C	YAL040C	992.437749	1078.631534	1166.178623	775.477409	1064.503638
YAL039C	YAL039C	644.988289	1111.069279	1317.99462	456.225812	362.611168
YAL038W	YAL038W	196136.921091	186008.259219	203191.309003	187863.689386	220541.31756
YAL037C-B	YAL037C-B	56.997214	0	78.310556	0	0
YAL037C-A	YAL037C-A	0	0	0	0	0
YAL037W	YAL037W	289.369418	330.324271	341.607418	153.508021	73.206141
YAL036C	YAL036C	2392.252457	2468.367323	3234.863368	2125.630311	2323.488409
YAL035W	YAL035W	6600.697325	6367.512111	5974.526746	6493.191134	6360.726035
YAL034C-B	YAL034C-B	0	0	0	0	0
YAL034W-A	YAL034W-A	524.261822	118.064288	763.106894	173.866451	397.997891
YAL034C	YAL034C	685.061469	590.321439	839.417583	250.126991	260.165798
YAL033W	YAL033W	1688.969162	1614.702747	1669.857426	1237.861217	917.845682
YAL032C	YAL032C	662.386619	575.729224	786.771783	452.212872	622.835091
YAL031W-A	YAL031W-A	0	0	0	0	0
YAL031C	YAL031C	825.883016	720.116656	670.242825	404.293029	330.307262
YAL030W	YAL030W	3387.84125	4574.920609	7278.753522	1909.163297	1938.216955
YAL029C	YAL029C	1904.084384	1555.013784	1630.843314	1386.300422	1524.000609
YAL028W	YAL028W	291.602134	218.997332	268.942384	68.85444	131.279715
YAL027W	YAL027W	744.513344	682.8345	706.158617	197.466206	150.674258
YAL026C-A	YAL026C-A	2037.082374	2141.485199	1913.724396	1308.000383	916.28441
YAL026C	YAL026C	1425.891619	1591.301259	1561.337556	1117.790392	1476.531608
HRA1	HRA1	0	0	0	0	0
YAL025C	YAL025C	1160.695985	1581.815125	1579.437937	1588.618825	1298.667905
YAL024C	YAL024C	543.946301	468.998597	461.700353	401.357296	517.501822
YAL023C	YAL023C	6572.923631	5823.535507	6152.972206	4974.081292	5380.629604
YAL022C	YAL022C	1393.229991	1010.427491	1248.124524	951.653374	907.234
YAL021C	YAL021C	2057.261435	1648.936731	1696.901646	1395.507844	1548.486
YAL020C	YAL020C	661.801274	389.36095	452.993243	351.309647	111.672773
YAL019W-A	YAL019W-A	0	0	0	0	0
YAL019W	YAL019W	1438.047474	1291.351594	1431.710776	1407.917531	1197.550664
YAL018C	YAL018C	0	0	0	0	0
YAL017W	YAL017W	1177.516847	1082.384709	1035.15719	632.324609	715.988429
YAL016C-B	YAL016C-B	0	0	0	0	0
YAL016C-A	YAL016C-A	0	0	0	0	0
YAL016W	YAL016W	3910.166443	3531.95938	3709.675236	2723.667272	2783.644465
YAL015C	YAL015C	534.723569	462.314896	557.790976	189.307877	270.752189
YAL014C	YAL014C	1227.007987	1413.124678	1534.46359	1138.937977	1319.137209
YAL013W	YAL013W	350.366324	680.577196	684.273537	488.421106	443.51913
YAL012W	YAL012W	11123.646765	9042.33546	10828.772487	9220.691215	10531.888338
YAL011W	YAL011W	268.837826	539.556694	418.490069	271.42847	463.000795
YAL010C	YAL010C	384.900622	356.492816	553.004735	557.647546	354.421848
YAL009W	YAL009W	1052.551508	1035.847052	678.445223	358.919019	380.377142
YAL008W	YAL008W	1501.756495	1793.080096	1308.937236	568.291066	325.242436
YAL007C	YAL007C	4410.092933	5149.738763	6276.650043	3049.148132	4266.209554
tP(UGG)A	tP(UGG)A	0	0	0	3429.647751	0
YAL005C	YAL005C	157333.821954	132710.165694	144276.742969	110575.143806	109594.957683
YAL004W	YAL004W	95.871585	0	0	0	96.959308
YAL003W	YAL003W	64204.078983	79908.200867	86361.485535	59815.211035	72303.911802
snR18	snR18	10467.468374	82639.324156	21365.525222	15260.412922	28680.635985
YAL002W	YAL002W	452.428085	337.845498	434.085082	420.946196	318.395612
YAL001C	YAL001C	762.538092	803.772025	673.176878	442.25064	421.490368
YAR002W	YAR002W	1804.816005	1602.916604	1671.482599	1026.179632	1250.89025
YAR002C-A	YAR002C-A	5985.906343	6873.645216	7200.751072	4214.610535	6054.745044
YAR003W	YAR003W	1115.502223	603.490588	642.460508	482.738033	585.785377
YAR007C	YAR007C	1516.136647	1517.447555	1475.59184	1366.72874	1234.250885
YAR008W	YAR008W	557.666769	886.503476	589.361449	147.933117	352.725451
YAR009C	YAR009C	218158.379684	185234.420509	185562.927402	254253.441452	229295.319672
YAR010C	YAR010C	226447.446148	206228.49199	207575.885092	282332.063763	245108.424077
tA(UGC)A	tA(UGC)A	0	0	0	0	0
YAR014C	YAR014C	1265.183804	1187.550889	1691.17476	834.259169	1186.876415
YAR015W	YAR015W	3237.730905	3436.356996	4230.637332	2950.292103	2411.811823
YAR018C	YAR018C	806.71319	484.309082	500.85201	535.583124	571.913592
YAR019C	YAR019C	350.096171	478.877576	509.384546	221.555133	304.075299
YAR019W-A	YAR019W-A	0	0	0	0	0
YAR020C	YAR020C	0	0	0	0	0
YAR023C	YAR023C	123.661071	126.206652	326.29398	130.944903	0
tL(CAA)A	tL(CAA)A	0	0	0	0	0
tS(AGA)A	tS(AGA)A	4798.503234	0	0	0	0
YAR027W	YAR027W	2130.534381	2637.112796	3057.759318	1174.797046	1638.009106
YAR028W	YAR028W	1542.563705	1045.71226	2329.237036	726.9817	953.616297
YAR029W	YAR029W	583.01437	2874.29139	5944.941667	0	0
YAR030C	YAR030C	513.956252	0	411.366652	135.083926	0
YAR031W	YAR031W	1072.74707	735.392705	1228.517335	368.355855	511.014242
YAR033W	YAR033W	85.697984	965.272856	831.873503	227.181781	260.077172
YAR035W	YAR035W	48.490544	80.705467	41.731093	154.618572	49.12752
YAR035C-A	YAR035C-A	0	0	0	0	0
YAR042W	YAR042W	1406.247687	1158.574779	1129.683469	912.968969	1013.983857
YAR047C	YAR047C	0	0	531.846364	151.186844	0
YAR050W	YAR050W	45.055227	69.19238	59.671347	69.990295	72.191344
YAR053W	YAR053W	0	0	0	0	0
YAR060C	YAR060C	265.267427	0	879.978236	0	265.351311
YAR061W	YAR061W	0	0	0	0	0
YAR062W	YAR062W	107.268321	0	109.078103	56.829107	0
YAR064W	YAR064W	0	0	0	0	0
YAR066W	YAR066W	310.940441	606.628658	418.233168	274.627319	1152.542107
YAR068W	YAR068W	1155.966537	1395.760001	1764.199651	305.697957	437.275735
YAR069C	YAR069C	0	0	0	0	337.011405
YAR070C	YAR070C	0	0	0	0	0
