#Transcript position	Transcript coverage profile
0.0	2.463162603901424
1.0	7.999585941099044
2.0	12.288334073939204
3.0	16.556409339221272
4.0	19.05571431157266
5.0	21.793713807631647
6.0	25.893734364611532
7.0	28.265660852276234
8.0	29.77957271642313
9.0	30.242024764157833
10.0	30.11174807998726
11.0	29.923168552067523
12.0	32.570612979652196
13.0	33.92243940458175
14.0	33.850324905353965
15.0	32.89970996998002
16.0	30.279909705695353
17.0	29.28550558311803
18.0	30.79865768491826
19.0	31.455846662531673
20.0	31.20630360586396
21.0	30.523795917065662
22.0	29.692502980085646
23.0	28.30063690932182
24.0	27.629502030696642
25.0	27.316282178603384
26.0	27.45316319646542
27.0	26.749923737312546
28.0	28.196398925891476
29.0	29.251701202854008
30.0	31.293705446755396
31.0	30.710523906515053
32.0	32.293125844879214
33.0	33.55886968937666
34.0	34.61750053109476
35.0	34.0064541813206
36.0	34.25211079868254
37.0	34.836615493153765
38.0	34.13880553637744
39.0	31.989416564049964
40.0	32.040890443149735
41.0	31.28204986055251
42.0	30.813103333987314
43.0	29.932805133124614
44.0	28.750655994124823
45.0	28.78093539472203
46.0	29.48431379753773
47.0	29.327924700202704
48.0	28.02226843870706
49.0	27.589666414348528
50.0	28.957282502146064
51.0	29.83113882866699
52.0	31.7440470489867
53.0	31.643465731326764
54.0	31.67688397232439
55.0	30.671580050031395
56.0	31.057845551028464
57.0	30.71548826635847
58.0	29.847818830621282
59.0	28.810416940344112
60.0	29.84892400973794
61.0	29.80240808755578
62.0	29.4842415286096
63.0	29.355541115797863
64.0	30.526445429260253
65.0	30.40351235132873
66.0	31.7476798482599
67.0	30.80069253152845
68.0	31.10352668506897
69.0	30.487249212701805
70.0	29.92711668621093
71.0	30.306973926555614
72.0	31.55087668568202
73.0	31.550151178282857
74.0	31.94030417541106
75.0	32.49801050024283
76.0	32.09384008340478
77.0	30.600696383730167
78.0	30.526984651517648
79.0	31.87181697866101
80.0	32.595482375718
81.0	31.09897437531297
82.0	30.54088524930262
83.0	30.734109490244226
84.0	28.236602527006497
85.0	26.975671111378674
86.0	26.39236048266723
87.0	25.7689788815404
88.0	24.218948872650735
89.0	21.42732382795751
90.0	19.3220333967221
91.0	18.13484269490509
92.0	14.785757033976015
93.0	10.139731440191193
94.0	8.397412888723313
95.0	6.775960583492556
96.0	5.993910014226739
97.0	3.855499626427492
98.0	1.8539835117668753
99.0	0.5145970129633036
